threshold,recall,precision
0.0,1.0,0.11699657193409267
0.005,0.997164461247637,0.1459197786998617
0.01,0.9924385633270322,0.17232890201870998
0.015,0.9905482041587902,0.19523099850968703
0.02,0.9896030245746692,0.21402289452166803
0.025,0.9867674858223062,0.23087129588677577
0.03,0.9848771266540642,0.24587069372345446
0.035,0.9810964083175804,0.25795228628230615
0.04,0.9773156899810964,0.26920072897682895
0.045,0.9744801512287334,0.28001086366105377
0.05,0.9716446124763705,0.29121813031161475
0.055,0.9706994328922496,0.3017038777908343
0.06,0.9706994328922496,0.31272838002436054
0.065,0.9640831758034026,0.3196490128486368
0.07,0.9612476370510397,0.32753623188405795
0.075,0.9574669187145558,0.33399274645565447
0.08,0.9546313799621928,0.3416779431664411
0.085,0.9489603024574669,0.3497039359108325
0.09,0.944234404536862,0.35551601423487544
0.095,0.9395085066162571,0.3609295570079884
0.1,0.9319470699432892,0.3658627087198516
0.105,0.9291115311909263,0.3743335872048743
0.11,0.9243856332703214,0.38203125
0.115,0.9177693761814745,0.3874700718276137
0.12,0.9073724007561437,0.3900853311661926
0.125,0.9035916824196597,0.39553165080678526
0.13,0.8969754253308129,0.4021186440677966
0.135,0.8922495274102079,0.40812797233030695
0.14,0.888468809073724,0.4137323943661972
0.145,0.8865784499054821,0.41875
0.15,0.8809073724007561,0.4240218380345769
0.155,0.8761814744801513,0.4299628942486085
0.16,0.8648393194706995,0.43201133144475923
0.165,0.8591682419659735,0.4374398460057748
0.17,0.8534971644612477,0.4415647921760391
0.175,0.8487712665406427,0.44676616915422884
0.18,0.8374291115311909,0.4502032520325203
0.185,0.8289224952741021,0.4544041450777202
0.19,0.8241965973534972,0.4567836563645888
0.195,0.8194706994328923,0.4621535181236674
0.2,0.8128544423440454,0.46612466124661245
0.205,0.8081285444234405,0.47029702970297027
0.21,0.8005671077504726,0.47344885410844045
0.215,0.7920604914933838,0.4753261486103233
0.22,0.7835538752362949,0.47780979827089337
0.225,0.774102079395085,0.48432879952690716
0.23,0.7684310018903592,0.4891696750902527
0.235,0.7589792060491494,0.495679012345679
0.24,0.7523629489603024,0.5003142677561282
0.245,0.7466918714555766,0.5060858424087123
0.25,0.7419659735349716,0.511400651465798
0.255,0.7315689981096408,0.5146276595744681
0.26,0.725897920604915,0.518918918918919
0.265,0.7155009451795841,0.5238754325259516
0.27,0.7079395085066162,0.5285815102328864
0.275,0.7003780718336484,0.5330935251798561
0.28,0.6909262759924386,0.5367107195301027
0.285,0.6843100189035917,0.5451807228915663
0.29,0.6729678638941399,0.5468509984639017
0.295,0.6597353497164461,0.5500394011032309
0.3,0.6540642722117203,0.5549318364073778
0.305,0.6408317580340265,0.5566502463054187
0.31,0.6332703213610587,0.5625524769101595
0.315,0.6209829867674859,0.5649183147033534
0.32,0.6143667296786389,0.5721830985915493
0.325,0.6039697542533081,0.5777576853526221
0.33,0.5935727788279773,0.5809435707678076
0.335,0.5879017013232514,0.5851364063969896
0.34,0.5822306238185255,0.5866666666666667
0.345,0.5699432892249527,0.5894428152492669
0.35,0.556710775047259,0.5907723169508525
0.355,0.5472589792060492,0.5920245398773006
0.36,0.5406427221172023,0.595213319458897
0.365,0.5311909262759924,0.5997865528281751
0.37,0.5198487712665406,0.6030701754385965
0.375,0.5075614366729678,0.6047297297297297
0.38,0.497164461247637,0.608092485549133
0.385,0.4877126654064272,0.6128266033254157
0.39,0.48015122873345933,0.6135265700483091
0.395,0.46975425330812853,0.6204744069912609
0.4,0.4555765595463138,0.6227390180878553
0.405,0.44706994328922495,0.6315086782376502
0.41,0.44328922495274103,0.6389645776566758
0.415,0.43383742911153117,0.6401673640167364
0.42,0.42911153119092627,0.6476462196861626
0.425,0.42344045368620037,0.6502177068214804
0.43,0.4158790170132325,0.6576980568011959
0.435,0.4120982986767486,0.662613981762918
0.44,0.40359168241965976,0.6640746500777605
0.445,0.3960302457466919,0.6693290734824281
0.45,0.3856332703213611,0.6743801652892562
0.455,0.3799621928166352,0.6825127334465195
0.46,0.3705103969754253,0.6817391304347826
0.465,0.3553875236294896,0.6823956442831216
0.47,0.34782608695652173,0.6878504672897197
0.475,0.34215500945179583,0.6895238095238095
0.48,0.33081285444234404,0.6944444444444444
0.485,0.3279773156899811,0.7024291497975709
0.49,0.32041587901701324,0.70625
0.495,0.31474480151228734,0.7115384615384616
0.5,0.3052930056710775,0.7146017699115044
0.505,0.29584120982986767,0.7195402298850575
0.51,0.29111531190926276,0.7298578199052133
0.515,0.2826086956521739,0.7328431372549019
0.52,0.276937618147448,0.7380352644836272
0.525,0.2674858223062382,0.7369791666666666
0.53,0.2618147448015123,0.7347480106100795
0.535,0.2580340264650284,0.7418478260869565
0.54,0.2504725897920605,0.7528409090909091
0.545,0.2485822306238185,0.7623188405797101
0.55,0.24196597353497165,0.764179104477612
0.555,0.2334593572778828,0.7694704049844237
0.56,0.22495274102079396,0.7727272727272727
0.565,0.21833648393194707,0.7830508474576271
0.57,0.21644612476370512,0.7842465753424658
0.575,0.2107750472589792,0.7907801418439716
0.58,0.20415879017013233,0.7883211678832117
0.585,0.1956521739130435,0.7870722433460076
0.59,0.1899810964083176,0.7913385826771654
0.595,0.1843100189035917,0.7959183673469388
0.6,0.17958412098298676,0.8016877637130801
0.605,0.17485822306238186,0.7974137931034483
0.61,0.16824196597353497,0.8018018018018018
0.615,0.16446124763705103,0.8130841121495327
0.62,0.15784499054820417,0.8186274509803921
0.625,0.1502835538752363,0.8153846153846154
0.63,0.14650283553875237,0.8115183246073299
0.635,0.14177693761814744,0.8064516129032258
0.64,0.13799621928166353,0.8111111111111111
0.645,0.13516068052930058,0.8171428571428572
0.65,0.13043478260869565,0.8214285714285714
0.655,0.1266540642722117,0.8170731707317073
0.66,0.1219281663516068,0.8164556962025317
0.665,0.12003780718336483,0.8193548387096774
0.67,0.11720226843100189,0.8211920529801324
0.675,0.11342155009451796,0.821917808219178
0.68,0.10869565217391304,0.8273381294964028
0.685,0.10396975425330812,0.8333333333333334
0.69,0.10113421550094517,0.8294573643410853
0.7,0.09829867674858223,0.8253968253968254
0.705,0.0945179584120983,0.8264462809917356
0.71,0.09168241965973535,0.8220338983050848
0.715,0.0888468809073724,0.8173913043478261
0.72,0.0831758034026465,0.8148148148148148
0.725,0.07939508506616257,0.8235294117647058
0.73,0.07750472589792061,0.82
0.735,0.07561436672967864,0.8247422680412371
0.74,0.07466918714555766,0.8229166666666666
0.75,0.07372400756143667,0.8297872340425532
0.755,0.07088846880907372,0.8241758241758241
0.76,0.06899810964083176,0.8390804597701149
0.765,0.0671077504725898,0.8352941176470589
0.77,0.06049149338374291,0.8421052631578947
0.775,0.057655954631379965,0.8472222222222222
0.78,0.055765595463137994,0.855072463768116
0.785,0.05387523629489603,0.8636363636363636
0.79,0.0500945179584121,0.8548387096774194
0.795,0.04725897920604915,0.847457627118644
0.8,0.046313799621928164,0.8448275862068966
0.805,0.04158790170132325,0.8461538461538461
0.81,0.03780718336483932,0.851063829787234
0.815,0.03497164461247637,0.8604651162790697
0.82,0.03213610586011342,0.85
0.825,0.031190926275992438,0.8461538461538461
0.83,0.026465028355387523,0.8235294117647058
0.835,0.02551984877126654,0.84375
0.84,0.023629489603024575,0.8333333333333334
0.845,0.01890359168241966,0.8
0.85,0.01606805293005671,0.8095238095238095
0.855,0.013232514177693762,0.7777777777777778
0.86,0.012287334593572778,0.7647058823529411
0.865,0.010396975425330813,0.7333333333333333
0.87,0.010396975425330813,0.7857142857142857
0.875,0.00945179584120983,0.7692307692307693
0.88,0.007561436672967864,0.7272727272727273
0.885,0.004725897920604915,0.625
0.89,0.003780718336483932,0.5714285714285714
0.895,0.002835538752362949,0.5
0.915,0.002835538752362949,0.6
0.92,0.002835538752362949,0.75
0.925,0.002835538752362949,1.0
0.94,0.000945179584120983,1.0
0.94,0.0,1.0
